iter	RMSE
0	0.9635857512
1	0.9281487076
2	0.8933466298
3	0.8583999265
4	0.826884169
5	0.7968633848
6	0.7671772077
7	0.7393716125
8	0.7131649373
9	0.6873265121
10	0.6612921896
11	0.638445718
12	0.6148498371
13	0.5926034067
14	0.5696125079
15	0.5492477093
16	0.52775247
17	0.5080418547
18	0.4898907434
19	0.4715284542
20	0.4539391358
21	0.4366986826
22	0.4200564917
23	0.405287578
24	0.3909287564
25	0.3772169674
26	0.363302427
27	0.3504595915
28	0.3368983902
29	0.3240748469
30	0.3121179313
31	0.3007828315
32	0.2902511181
33	0.279397154
34	0.2690944107
35	0.2591242747
36	0.2493031436
37	0.2396907484
38	0.2304784715
39	0.2222314367
40	0.2143488875
41	0.2066074112
42	0.1986709697
43	0.1911231472
44	0.1842018631
45	0.1776407364
46	0.171110037
47	0.164829132
48	0.1590814483
49	0.1531547881
50	0.1481315378
51	0.1424557593
52	0.1374305238
53	0.1323165175
54	0.1277568488
55	0.1232370827
56	0.1188292962
57	0.1145633088
58	0.1104127071
59	0.1064913618
60	0.1025788683
61	0.09881152083
62	0.09535188848
63	0.09202223421
64	0.08883732089
65	0.08569926058
66	0.08263280535
67	0.07982556285
68	0.07693924206
69	0.07428504431
70	0.0717554825
71	0.06941463899
72	0.06711802638
73	0.06496669192
74	0.06269872185
75	0.06067913205
76	0.05869104748
77	0.05676846972
78	0.05498177024
79	0.05322446493
80	0.05145900582
81	0.04977338459
82	0.04819223013
83	0.04672050303
84	0.04533230373
85	0.04386461689
86	0.04259000506
87	0.041374676
88	0.04006844108
89	0.03887131965
90	0.03771747903
91	0.03664371333
92	0.03553468577
93	0.03452033336
94	0.03352889967
95	0.03258954525
96	0.03162272327
97	0.03077994804
98	0.02990503426
99	0.02905487136
100	0.02837569121
101	0.02764784013
102	0.0269055074
103	0.02619069312
104	0.0254960177
105	0.02487319129
106	0.02428387972
107	0.02368631056
108	0.02312275124
109	0.02255446487
110	0.02204811864
111	0.0215702847
112	0.02109373168
113	0.0205835939
114	0.02012317545
115	0.01967495529
116	0.01925138812
117	0.01884224118
118	0.01847097192
119	0.01808727788
120	0.01771433691
121	0.01740082236
122	0.01707048845
123	0.01674470784
124	0.01645822238
125	0.01615803681
126	0.01588202126
127	0.01559063022
128	0.01532673421
129	0.01508684167
130	0.01483993623
131	0.01460070297
132	0.01437079639
133	0.01415544759
134	0.0139656642
135	0.01375288726
136	0.01355973887
137	0.01338965821
138	0.01323627185
139	0.01304049173
140	0.01286239822
141	0.01268082973
142	0.01250688666
143	0.0123573204
144	0.01221281567
145	0.01204813378
146	0.01191241538
147	0.01176542902
148	0.01162551895
149	0.011496186
150	0.01135442925
151	0.01124775708
152	0.01113845399
153	0.0110212035
154	0.01092587787
155	0.01082684974
156	0.01072999196
157	0.01062302716
158	0.01054328417
159	0.01044040043
160	0.01034912763
161	0.01024644064
162	0.01015113778
163	0.01004851643
164	0.00996991479
165	0.009906708081
166	0.00981590301
167	0.009724765006
168	0.00964715471
169	0.009585588542
170	0.009513227355
171	0.009444719659
172	0.009360370184
173	0.009294768086
174	0.009214889084
175	0.009152194577
176	0.009095417673
177	0.009025101423
178	0.00897078247
179	0.008918448339
180	0.008875009593
181	0.008807509969
182	0.008755852952
183	0.008710026404
184	0.008661015641
185	0.00862494896
186	0.008576605592
187	0.008539394325
188	0.008492983342
189	0.008450780277
190	0.008411706716
191	0.008380003161
192	0.00832746976
193	0.0083146595
194	0.008266602849
195	0.008253485187
196	0.008215172109
197	0.008169395482
198	0.008158686614
199	0.008109590679
200	0.00808177669
201	0.008037591766
202	0.007995714803
203	0.007984629361
204	0.00796221086
205	0.007940147339
206	0.007928720913
207	0.007915880631
208	0.007877500077
209	0.007854429302
210	0.00781497702
211	0.007807311888
212	0.007786191344
213	0.007776617462
214	0.007734511131
215	0.007728616626
216	0.007713639131
217	0.007683807786
218	0.007649204912
219	0.007641831321
220	0.007636549771
221	0.007630901322
222	0.007625016004
223	0.007618463158
224	0.007613592409
225	0.007607613812
226	0.007593973753
227	0.007589182366
228	0.007556410873
229	0.007534805726
230	0.007529269145
231	0.007502475343
232	0.007497623045
